content,collaborative,popularity,context,ndcg@10
0.0,1.0,0.0,0.0,0.27184111293693825
0.0,0.9,0.1,0.0,0.26776731597769765
0.0,0.8,0.2,0.0,0.25746501897633495
0.0,0.7,0.3,0.0,0.25210569009400235
0.0,0.6,0.4,0.0,0.23923669780513923
0.0,0.5,0.5,0.0,0.22990733744590752
0.0,0.4,0.6,0.0,0.2180688160786456
0.0,0.6,0.3,0.10000000000000009,0.20634487423628164
0.0,0.7,0.2,0.10000000000000009,0.20617490234064834
0.1,0.5,0.4,0.0,0.20420477065215167
0.1,0.4,0.5,0.0,0.20399518698154595
0.0,0.8,0.1,0.09999999999999998,0.2027922870901132
0.1,0.3,0.6,0.0,0.2026144273874779
0.1,0.2,0.7,0.0,0.20200182903538122
0.0,0.3,0.7,0.0,0.20175401551189026
0.0,0.5,0.4,0.09999999999999998,0.19953676349301516
0.1,0.6,0.3,0.0,0.19760846243661073
0.0,0.4,0.5,0.09999999999999998,0.19483467839956803
0.1,0.1,0.8,0.0,0.19236876181589926
0.0,0.9,0.0,0.09999999999999998,0.1870519515947544
0.0,0.2,0.8,0.0,0.18585812844901087
0.0,0.3,0.6,0.10000000000000009,0.1857489076507576
0.1,0.7,0.2,0.0,0.18556531288704267
0.0,0.2,0.7,0.10000000000000009,0.17374727594681486
0.1,0.8,0.1,0.0,0.17373366276510108
0.1,0.3,0.5,0.09999999999999998,0.1729181424723666
0.1,0.2,0.6,0.09999999999999998,0.1725906120210123
0.1,0.4,0.4,0.09999999999999998,0.1720171330090028
0.1,0.1,0.7,0.10000000000000009,0.1698281588714011
0.1,0.5,0.3,0.10000000000000009,0.1687514510844185
0.1,0.0,0.9,0.0,0.16821927674493503
0.0,0.5,0.3,0.19999999999999996,0.1613698390288411
0.0,0.1,0.9,0.0,0.16089163489242878
0.1,0.6,0.2,0.10000000000000009,0.16072671833013838
0.0,0.6,0.2,0.19999999999999996,0.16066444841609437
0.0,0.4,0.4,0.19999999999999996,0.15966229031835233
0.0,0.7,0.1,0.20000000000000007,0.15823310638128807
0.0,0.1,0.8,0.09999999999999998,0.15451057142073255
0.1,0.0,0.8,0.09999999999999998,0.15261575332023478
0.0,0.3,0.5,0.19999999999999996,0.15178385510477851
0.1,0.7,0.1,0.10000000000000009,0.1512594711275494
0.1,0.9,0.0,0.0,0.1505463289476039
0.2,0.3,0.5,0.0,0.14929362687391654
0.2,0.2,0.6,0.0,0.14814460893843168
0.2,0.4,0.4,0.0,0.1479332528704958
0.0,0.8,0.0,0.19999999999999996,0.14616450350927343
0.2,0.1,0.7,0.0,0.1456806659374223
0.0,0.2,0.6,0.19999999999999996,0.14549585886792535
0.2,0.5,0.3,0.0,0.1436120112557366
0.1,0.3,0.4,0.19999999999999996,0.14187912652420392
0.1,0.4,0.3,0.19999999999999996,0.14166913669810216
0.1,0.2,0.5,0.19999999999999996,0.14071623875497433
0.2,0.0,0.8,0.0,0.14059627977561773
0.2,0.7,0.1,1.1102230246251565e-16,0.14029113121479772
0.2,0.6,0.2,0.0,0.1398491496789242
0.1,0.5,0.2,0.19999999999999996,0.1380873086086246
0.0,0.5,0.2,0.30000000000000004,0.1360298068228025
0.1,0.1,0.6,0.19999999999999996,0.13585528825504123
0.2,0.2,0.5,0.09999999999999998,0.13554794165613926
0.2,0.1,0.6,0.09999999999999998,0.13546174164620012
0.0,0.3,0.4,0.30000000000000004,0.13441010797923458
0.0,0.4,0.3,0.30000000000000004,0.13429102010623034
0.0,0.6,0.1,0.30000000000000004,0.1331909354508176
0.2,0.3,0.4,0.09999999999999998,0.1328135760287212
0.3,0.2,0.5,0.0,0.13228188403149338
0.3,0.3,0.4,0.0,0.13221025664370722
0.3,0.4,0.3,0.0,0.13183841726182233
0.0,0.1,0.7,0.20000000000000007,0.13180185919943185
0.3,0.1,0.6,0.0,0.13145188982065967
0.2,0.0,0.7,0.10000000000000009,0.13034024092170388
