model,users,precision@5,recall@5,f1@5,map@5,mrr@5,ndcg@5,precision@10,recall@10,f1@10,map@10,mrr@10,ndcg@10,precision@20,recall@20,f1@20,map@20,mrr@20,ndcg@20
collaborative,2787,0.09759598134194475,0.24398995335486187,0.13942283048849252,0.1583542638440378,0.2798349479727305,0.21180214586193907,0.06311445999282382,0.3155722999641191,0.1051907666547064,0.17121100802478628,0.29219334666051566,0.240147861549032,0.038302834589163975,0.38302834589163975,0.06964151743484359,0.1777974947555616,0.29769056041384384,0.2610431980183283
hybrid,2787,0.09759598134194475,0.24398995335486187,0.13942283048849252,0.1583542638440378,0.2798349479727305,0.21180214586193907,0.06311445999282382,0.3155722999641191,0.1051907666547064,0.17121100802478628,0.29219334666051566,0.240147861549032,0.038302834589163975,0.38302834589163975,0.06964151743484359,0.1777974947555616,0.29769056041384384,0.2610431980183283
learning_to_rank,2787,0.0917832795120201,0.22945819878005022,0.1311189707314573,0.14550891041741418,0.2557828011003468,0.19585342798780683,0.0617151058485827,0.30857552924291354,0.10285850974763787,0.15921618797022458,0.27089163975601005,0.2273127092004632,0.0378005023322569,0.3780050233225691,0.06872818605864893,0.16584056742044376,0.2769932809118641,0.2488673515841155
next_destination,2787,0.04772156440617151,0.11930391101542878,0.06817366343738789,0.06683411075230236,0.12102619303911014,0.0948496259473713,0.03792608539648368,0.18963042698241836,0.0632101423274728,0.078243090083779,0.13516097983266984,0.12255831014035291,0.02800502332256907,0.2800502332256907,0.05091822422285285,0.0866311245658608,0.14326358354775343,0.15050685784052797
popularity,2787,0.031001076426264804,0.077502691065662,0.04428725203752115,0.03401806004066499,0.0632520033488817,0.053771393548884376,0.02841765339074273,0.14208826695371368,0.0473627556512379,0.04423036945911004,0.0791194662292617,0.07993386201219158,0.025995694294940804,0.25995694294940797,0.04726489871807418,0.05380681835498592,0.09235994188663092,0.11634671199156317
content,2787,0.031216361679224973,0.07804090419806244,0.044594802398892824,0.04010285850974764,0.07408204760196148,0.059205699361881345,0.025224255471833518,0.12612127735916756,0.042040425786389196,0.04741394285258656,0.08509847306940957,0.07826214360592547,0.019052744886975243,0.19052744886975242,0.03464135433995498,0.05296815733913948,0.09163701343364551,0.09814088212538484
matrix_factorization,2787,0.011051309651955507,0.027628274129888768,0.0157875852170793,0.014818801578758522,0.02842961368257385,0.021716660631408258,0.009006099748833872,0.04503049874416936,0.015010166248056456,0.0173113833501347,0.03278401421566115,0.028636778834021583,0.007750269106566201,0.077502691065662,0.01409139837557491,0.019802712303324664,0.036831994151651094,0.038710686122378886
