model,k,catalog_coverage,n_unique_recommended,gini,mean_popularity_percentile,share_from_top_decile,novelty,intra_list_diversity,geographic_spread_km,country_entropy
popularity,10,0.045,18,0.9701171510584858,0.3725272694653749,0.08844635809113742,2.2770473003933858,0.8210895333045984,6999.402174141081,3.020849881706523
content,10,0.995,398,0.6135114818801579,0.508994124506638,0.07226408324363115,1.434660457787227,0.6244740885818554,3979.208382556922,1.6103751011142888
collaborative,10,0.7725,309,0.8698338715464657,0.3945432364549694,0.03853606027987083,2.043276954880508,0.7780878875698688,6753.473737991221,2.5076215317590056
matrix_factorization,10,0.9575,383,0.2742380696088984,0.4736062522425547,0.07538571941155364,1.497703928101433,0.9180933998498766,5501.642053328843,2.508765940763805
hybrid,10,0.7725,309,0.8698338715464657,0.3945432364549694,0.03853606027987083,2.043276954880508,0.7780878875698688,6753.473737991221,2.5076215317590056
next_destination,10,0.975,390,0.5871338356655902,0.5767647111589523,0.14797273053462504,1.2350427164184725,0.7192987472378037,2102.2980618171364,1.6821576441698052
learning_to_rank,10,0.9525,381,0.7408406889128096,0.444984212414783,0.09020452099031216,1.818619835423935,0.8508706463103078,6537.223322648068,2.433140792983676
